b0e35b9e8db847d992fa81afa8851753,304.96,6,333.77,409.09,-28.81,It does not seem to follow the track at all.,"it feels like it just going on and on, without staying on the track",maybe it is struggling with identifying the turns,give it capability to sense the lane.,"So honestly, i had some trouble making the decisions to improve the car, because i cannot get a bird's eye view of how the car is doing. by getting a close up view, I had a lot of trouble determining what it was doing, and so i didnt know what i should do to fix its course","i chose breaking so that it helps with smooth turning and does not skid, i tried to do the same thing by improving tire traction, improving steering sensitivity helped at turns but it was still snipping way too much. i wanted to use rear steering  but didnt know what to do. Its cool game BTW.. had fun designing the car."
540d7a5f797745c3beeababa9048d930,269.45,3,672.549,672.549,-403.099,"lol it's bad, it doesn't really know to steer",it drives?,"steering - it either seems to steer too much, running in circles, or not at all, running a straight line",umm... make the steering less sensitive,It's a heavier design with less horsepower,I wanted it to drive more slowly and the be less sensitive to steering by increasing mass
e6900ed30d77497a97b8b9800d3becdf,256.7,9,532.231,532.231,-275.531,The driver seems to make very little effort to stay on the track. They turn very slightly in the wrong direction at the first turn.,The driver seems to make some effort to stay on the track in one of the videos when they begin drifting towards the edge.,The driver seems to be struggling with turning enough,"I think making the car easier to turn would help. Also, maybe if it was made slower, the driver would be able to complete the turns","Slight modifications: reduced wheel size, increased the wheel width, increased the tire tread, increased the brake sensitivity, increased the steering sensitivity, increased the amount the rear wheels turn; Major modifications: Severely reduced the top speed, shaped the car like a wine glass","The driver seemed to initially have a lot of trouble with turns so I tried to improve the handling of the car. Reducing the top speed seemed to be the most effective metric in allowing the driver to make the turns. Also, the wine-glass shape looks classy"
2a532da3d761421890cc5de28b3ff2f3,226.99,2,430.249,430.249,-203.259,"Limited steering, limited application of brakes",Accelerating!,The car is reaching a high speed with limited control and not actually making it around the track. ,"I would set an upper speed limit, make the steering more responsive, and see what else I can do to empower the driver. ","Because the AI seemed to struggle to control the car, I limited the speed and made the steering and brakes more responsive. Also, I made it purple. ","In the test videos, the car seemed to accelerate with limited application of brakes and limited steering. By limiting the speed, I gave the AI more of a chance to make the turns and get used to the car. "
a3476ba7c278432db0315eda9546b7a4,225.57,36,408.3,745.07,-182.73,"The AI seems to constantly adjust its position with a 'left' or 'right' turn at every timestep, along with some nonzero acceleration.","The driver is very good at staying on a straight track, and mostly working through small turns.",Any sort of steep turn either makes the driver skid off the track or makes the driver turn the wrong direction entirely.,"Modifying the horsepower, steering sensitivity, and the brake sensitivity will help with turns, and from there I can adjust the actual car shape for further optimization.","The car is bulged at the middle and extra wide on the top, with a smaller than normal wheel radius and wheel width. The tires have a lot of tread and the brakes are quite sensitive, with normal steering sensitivity and the lowest horsepower possible.","The high brake sensitivity, high tire tread, and low horsepower were all picked in an attempt to stop the car from ""overshooting"" all the turns and veering straight off the path. These design choices made the car much slower but makes it stay on the track for longer time periods, which is good. The rest of the design choices (bulging middle, wide front, and low tire radius) were picked by trial and error to help the car turn with generally more precision; sometimes the driver steers the car in the opposite direction of the track, and  these choices reduced the frequency of this type of steering occuring."
9a5f5d937d79438daa2b52cb4ce26216,218.65,12,526.3,526.3,-307.65,He keeps accelerating. He never brakes. He most time does not turn. ,He's good at speeding up. He's courageous.,Turning. He sort of knows when to turn but doesn't know the direction and angle. ,"Maybe help the car slow down a bit, so the driver will have more opportunity to practice its turning before getting out of the track. ","The design is lightweight, low-power energy efficient car. The green color represents that it is environmental friendly, and blends perfectly with the grass. It use small engine horsepower, and small flexible wheels, also works better with new drivers.~","I chose low steering sensitivity and low rear steering power because I found the driver likes to turn sharply when he's slightly off the track, thus making it worse. Thus I restrict how much he can turn mechanically. I also chose a small engine horsepower and limit the top speed to less than a half. Because I found the driver is still raw, he needs slower speed to give him more tolerance so that he can practice his tactics, like rotation etc. I chose high brake sensitivity for a similar reason, I just want the driver to slow it down more quickly when anything goes wrong."
c79f3969753e4d91a9cb88d4382c9ca8,182.55,50,395.05,573.64,-212.5,The driver goes the opposite direction when it's supposed to turn.,The driver is driving steadily at the beginning.,Figuring out which direction to turn.,Make the car turn the right direction.,"The car has low turning ability by having a lower wheel radius and width, a very high tire tread, and very low steering sensitivity. The max speed is also very low.",The driver wouldn't stop driving in a zig-zag motion so I tried to inhibit it's ability to turn as much as possible so that the zig-zag oscillations would steady out quickly and allow the driver to drive straight.
b11c5f8063d647b1aa73cb00eab176e0,629.11,5,893.127,893.127,-264.017,"- Drives very straight until there is a bend in the track; - Bend in track is always a left turn, and the driver always turns right (sometimes at varying angles); - After driving off the track, either keeps driving straight until the edge of the world is hit or would make weird circles",- Driving straight when the track is straight,- Adjusting to turns in the track; - Rerouting to get back onto the track after driving off,- How sensitive the wheels are to turning,- More emphasis on tuning steering sensitivity and wheel traction (through tire tread); - Changed the shape of the car to be wider,"In prior test drives, I saw that the test car made a lot of really wide turns, so I wanted to minimize this. In addition, I wanted to make sure that there was still a good amount of speed during the drive, so I adjusted the top speed limiter variable throughout each test drive/iteration."
1b7db0cc7094434b85c284547269f99c,581.87,14,670.226,869.594,-88.356,turning left when it's supposed to turn left.,going in a straight line in the beginning.,realizing when to turn left; always turning right.,signal when going off track; slowing down when making turns.,"decreased wheel width, increased speed limit, increased sensitivity for brakes, steering wheel, and rear.",decreased wheel width for more traction & better handling of turns. Increased brake sensitivity and rare steering power to change how the car turns. 
786f2281540e4e468fca9d1a74df5c38,531.08,4,370.154,624.25,160.926,The driver always chooses to move forward and turn slightly right (except in one video where the driver veered hard right).,The driver is accelerating quickly and performs well on straight paths.,The driver is not turning left when the track goes toward the left.,"I could potentially make the wheels unbalanced in a way that favors leftward motion. Alternatively, I could slow down the car so that the driver can control more of the motion.","I kept the car visually the same, but I decreased the max speed and acceleration while increasing the wheel width and turning power.","Whenever the car had a high acceleration or speed, the AI was unable to control the car and veered uncontrollably. To resolve this, I allowed the AI to have more control over steering, increased the wheel width to provide more traction on turns, and decreased the horsepower and top speed to make sure the driver had control."
b00a73908f3147b5b35e90936134a77f,513.58,17,755.513,769.73,-241.933,The driver right now doesnt know much about how to make it around the track. It seems to basically hit the gas once or twice and hope for the best. ,It knows that it needs to hit the gas to move at least,It doesnt understand how to turn or perhaps doesnt know how to recognize when to turn. It also doesnt know how to get back onto the road once it veers off. ,"Im thinking perhaps make the car a lot slower, so that the driver has more time to recognize when it needs to turn.",I increased the tire tread to 51 and drastically its speed threshold to 50 mph. I also reduced the engine size to the 30 to reduce its acceleration. I also changed the color just for fun. Additionally increased the steering sensitivity to .56,"I didnt change anything about the car shape at this stage. Since the driver is a beginner, I figured something like is much less important for seeing dramatic improvement. Instead I focussed on making the car a lot easier to handle with the assumption that currently the driver also doesnt have very good reaction time. I initially dramatically reduced the top speed of the car to 30 mph with the expectation that the driver simply needs more time to process when it needs to turn. I also tried to simultaneously improve handling by increasing the tire tread. This way the car wouldn't slide all over the place as a result of a slight push on the pedal. I also reduced the engine size so that a slight push on the pedal would not cause the car to accelerate very quickly. These changes proved to be very fruitful as I saw a top score of about 450. The driver was typically very easily able to make turns and stay on the road. However, the driver wasnt going very fast. Next, I decided to up the top speed to 60 mph. This made the driver's performance much worse as even though it knew about turning, it couldnt turn fast enough for the speed at which it was going. Since I did want to get the car to move fast I decided to just drop the top speed a little to 55 mph but increase the steering sensitivity to 0.55 to account for the fact that the car is moving much faster. This resulted in my best performance of about 770."
b15a47a3828c43d79fa74ca0cffdeb53,437.96,10,533.44,533.44,-95.48,"It just goes in a straight line, except for one trial where it went off track and kept spinning.",Driving in a straight line,Turning the car,Add steering capability,"Higher wheel width, tire thread, steering sensitivity and break sensitivity. Lower engine horsepower.",I increased wheel width and the tire thread to increase traction. I reduced the engine horsepower to slow down the car (we don't want learners overspeeding). I increased the steering and break sensitivity to improve turning performance of the car.
